num_hawks,num_doves,num_hawks_infected,num_doves_infected,infection_rate,mask_effectiveness,improper_mask_usage_severity,percent_improper_mask_usage,percent_stationary,probability_quarantined,time_25,time_50,time_75,time_100,total_infected,total_time
100,100,10,10,0.2,5,0,0,0,0,1238,1925,2957,13586,200,13586
100,100,10,10,0.2,5,0,0,0,0,488,1513,2644,12329,200,12329
100,100,10,10,0.2,5,0,0,0,0,709,1634,2735,9278,200,9278
100,100,10,10,0.2,5,0,0,0,0,1012,1817,2688,10276,200,10276
100,100,10,10,0.2,5,0,0,0,0,677,1243,2404,9914,200,9914
100,100,10,10,0.2,5,0,0,0,0,814,1628,2662,8508,200,8508
100,100,10,10,0.2,5,0,0,0,0,944,1912,3217,12433,200,12433
100,100,10,10,0.2,5,0,0,0,0,730,1782,2799,10657,200,10657
100,100,10,10,0.2,5,0,0,0,0,907,1903,3244,12922,200,12922
100,100,10,10,0.2,5,0,0,0,0,716,1563,2611,8373,200,8373
100,100,10,10,0.2,5,0,0,0,0,835,1805,3372,13349,200,13349
100,100,10,10,0.2,5,0,0,0,0,798,1558,2600,13225,200,13225
100,100,10,10,0.2,5,0,0,0,0,628,1585,3182,16147,200,16147
100,100,10,10,0.2,5,0,0,0,0,754,1522,2779,14721,200,14721
100,100,10,10,0.2,5,0,0,0,0,818,1665,3019,14914,200,14914
100,100,10,10,0.2,5,0,0,0,0,891,1624,3161,10799,200,10799
100,100,10,10,0.2,5,0,0,0,0,911,1836,3054,10552,200,10552
100,100,10,10,0.2,5,0,0,0,0,810,1671,3020,13003,200,13003
100,100,10,10,0.2,5,0,0,0,0,640,1260,2363,12977,200,12977
100,100,10,10,0.2,5,0,0,0,0,605,1415,2799,14174,200,14174
100,100,10,10,0.2,5,0,0,0,0,481,1174,2513,11601,200,11601
100,100,10,10,0.2,5,0,0,0,0,721,1453,2318,11172,200,11172
100,100,10,10,0.2,5,0,0,0,0,962,1898,2703,18316,200,18316
100,100,10,10,0.2,5,0,0,0,0,788,1583,2544,13715,200,13715
100,100,10,10,0.2,5,0,0,0,0,1097,2168,3320,12788,200,12788
100,100,10,10,0.2,5,0,0,0,0,850,1596,2777,11349,200,11349
100,100,10,10,0.2,5,0,0,0,0,954,1850,3031,14835,200,14835
100,100,10,10,0.2,5,0,0,0,0,859,1750,2748,11619,200,11619
100,100,10,10,0.2,5,0,0,0,0,907,2060,3732,15695,200,15695
100,100,10,10,0.2,5,0,0,0,0,873,1798,2962,8561,200,8561
